date;value
11.06.2016;606,73
12.06.2016;672,78
13.06.2016;704,38
14.06.2016;685,56
15.06.2016;694,47
16.06.2016;766,31
17.06.2016;748,91
18.06.2016;756,23
19.06.2016;763,78
20.06.2016;737,23
21.06.2016;666,65
22.06.2016;596,12
23.06.2016;623,98
24.06.2016;665,3
25.06.2016;665,12
26.06.2016;629,37
27.06.2016;655,27
28.06.2016;647
29.06.2016;639,89
30.06.2016;673,34
01.07.2016;676,3
02.07.2016;703,7
03.07.2016;658,66
04.07.2016;683,66
05.07.2016;670,63
06.07.2016;677,33
07.07.2016;640,56
08.07.2016;666,52
09.07.2016;650,96
10.07.2016;649,36
11.07.2016;647,66
12.07.2016;664,55
13.07.2016;654,47
14.07.2016;658,08
15.07.2016;663,25
16.07.2016;660,77
17.07.2016;679,46
18.07.2016;673,11
19.07.2016;672,86
20.07.2016;665,68
21.07.2016;665,01
22.07.2016;650,62
23.07.2016;655,56
24.07.2016;661,28
25.07.2016;654,1
26.07.2016;651,78
27.07.2016;654,35
28.07.2016;655,03
29.07.2016;656,99
30.07.2016;655,05
31.07.2016;624,68
01.08.2016;606,27
02.08.2016;547,47
03.08.2016;566,36
04.08.2016;578,29
05.08.2016;575,04
06.08.2016;587,78
07.08.2016;592,69
08.08.2016;591,05
09.08.2016;587,8
10.08.2016;592,1
11.08.2016;589,12
12.08.2016;587,56
13.08.2016;585,59
14.08.2016;570,47
15.08.2016;567,24
16.08.2016;577,44
17.08.2016;573,22
18.08.2016;574,32
19.08.2016;575,63
20.08.2016;581,7
21.08.2016;581,31
22.08.2016;586,75
23.08.2016;583,41
24.08.2016;580,18
25.08.2016;577,76
26.08.2016;579,65
27.08.2016;569,95
28.08.2016;573,91
29.08.2016;574,11
30.08.2016;577,5
31.08.2016;575,47
01.09.2016;572,3
02.09.2016;575,54
03.09.2016;598,21
04.09.2016;608,63
05.09.2016;606,59
06.09.2016;610,44
07.09.2016;614,54
08.09.2016;626,32
09.09.2016;622,86
10.09.2016;623,51
11.09.2016;606,72
12.09.2016;608,24
13.09.2016;609,24
14.09.2016;610,68
15.09.2016;607,15
16.09.2016;606,97
17.09.2016;605,98
18.09.2016;609,87
19.09.2016;609,23
20.09.2016;608,31
21.09.2016;597,15
22.09.2016;596,3
23.09.2016;602,84
24.09.2016;602,63
25.09.2016;600,83
26.09.2016;608,04
27.09.2016;606,17
28.09.2016;604,73
29.09.2016;605,69
30.09.2016;609,74
01.10.2016;613,98
02.10.2016;610,89
03.10.2016;612,13
04.10.2016;610,2
05.10.2016;612,51
06.10.2016;613,02
07.10.2016;617,12
08.10.2016;619,11
09.10.2016;616,75
10.10.2016;618,99
11.10.2016;641,07
12.10.2016;636,19
13.10.2016;636,79
14.10.2016;640,38
15.10.2016;638,65
16.10.2016;641,63
17.10.2016;639,19
